,DATA_NOTIFICACAO,Date,FAIXA_ETARIA,count
346,04/09/2020,2020-04-09,30 A 39 ANOS,597
345,04/09/2020,2020-04-09,20 A 29 ANOS,447
357,04/10/2020,2020-04-10,30 A 39 ANOS,104
358,04/10/2020,2020-04-10,40 A 49 ANOS,97
359,04/10/2020,2020-04-10,50 A 59 ANOS,85
360,04/10/2020,2020-04-10,60 A 69 ANOS,70
361,04/10/2020,2020-04-10,70 A 79 ANOS,52
363,04/10/2020,2020-04-10,90 OU MAIS,4
364,04/10/2020,2020-04-10,<1ANO,1
355,04/10/2020,2020-04-10,10 A 19 ANOS,20
356,04/10/2020,2020-04-10,20 A 29 ANOS,74
354,04/10/2020,2020-04-10,1 A 9 ANOS,8
362,04/10/2020,2020-04-10,80 A 89 ANOS,25
366,04/11/2020,2020-04-11,10 A 19 ANOS,70
375,04/11/2020,2020-04-11,<1ANO,6
374,04/11/2020,2020-04-11,90 OU MAIS,10
373,04/11/2020,2020-04-11,80 A 89 ANOS,28
365,04/11/2020,2020-04-11,1 A 9 ANOS,30
372,04/11/2020,2020-04-11,70 A 79 ANOS,61
370,04/11/2020,2020-04-11,50 A 59 ANOS,205
371,04/11/2020,2020-04-11,60 A 69 ANOS,120
369,04/11/2020,2020-04-11,40 A 49 ANOS,300
368,04/11/2020,2020-04-11,30 A 39 ANOS,301
367,04/11/2020,2020-04-11,20 A 29 ANOS,267
384,04/12/2020,2020-04-12,80 A 89 ANOS,64
381,04/12/2020,2020-04-12,50 A 59 ANOS,397
379,04/12/2020,2020-04-12,30 A 39 ANOS,765
378,04/12/2020,2020-04-12,20 A 29 ANOS,634
377,04/12/2020,2020-04-12,10 A 19 ANOS,174
386,04/12/2020,2020-04-12,<1ANO,23
382,04/12/2020,2020-04-12,60 A 69 ANOS,296
380,04/12/2020,2020-04-12,40 A 49 ANOS,583
376,04/12/2020,2020-04-12,1 A 9 ANOS,63
385,04/12/2020,2020-04-12,90 OU MAIS,17
383,04/12/2020,2020-04-12,70 A 79 ANOS,120
1168,13/04/2020,2020-04-13,20 A 29 ANOS,15
1172,13/04/2020,2020-04-13,60 A 69 ANOS,6
1169,13/04/2020,2020-04-13,30 A 39 ANOS,42
1170,13/04/2020,2020-04-13,40 A 49 ANOS,31
1176,13/04/2020,2020-04-13,<1ANO,1
1175,13/04/2020,2020-04-13,90 OU MAIS,1
1174,13/04/2020,2020-04-13,80 A 89 ANOS,1
1173,13/04/2020,2020-04-13,70 A 79 ANOS,3
1171,13/04/2020,2020-04-13,50 A 59 ANOS,16
1167,13/04/2020,2020-04-13,10 A 19 ANOS,1
1166,13/04/2020,2020-04-13,1 A 9 ANOS,3
1273,14/04/2020,2020-04-14,40 A 49 ANOS,11
1274,14/04/2020,2020-04-14,50 A 59 ANOS,5
1277,14/04/2020,2020-04-14,80 A 89 ANOS,2
1276,14/04/2020,2020-04-14,70 A 79 ANOS,2
1272,14/04/2020,2020-04-14,30 A 39 ANOS,15
1270,14/04/2020,2020-04-14,10 A 19 ANOS,1
1271,14/04/2020,2020-04-14,20 A 29 ANOS,4
1269,14/04/2020,2020-04-14,1 A 9 ANOS,1
1275,14/04/2020,2020-04-14,60 A 69 ANOS,7
1369,15/04/2020,2020-04-15,20 A 29 ANOS,21
1368,15/04/2020,2020-04-15,10 A 19 ANOS,5
1371,15/04/2020,2020-04-15,40 A 49 ANOS,20
1372,15/04/2020,2020-04-15,50 A 59 ANOS,14
1376,15/04/2020,2020-04-15,<1ANO,1
1373,15/04/2020,2020-04-15,60 A 69 ANOS,11
1370,15/04/2020,2020-04-15,30 A 39 ANOS,29
1375,15/04/2020,2020-04-15,80 A 89 ANOS,4
1374,15/04/2020,2020-04-15,70 A 79 ANOS,6
1469,16/04/2020,2020-04-16,1 A 9 ANOS,2
1473,16/04/2020,2020-04-16,40 A 49 ANOS,19
1472,16/04/2020,2020-04-16,30 A 39 ANOS,28
1477,16/04/2020,2020-04-16,80 A 89 ANOS,3
1476,16/04/2020,2020-04-16,70 A 79 ANOS,11
1475,16/04/2020,2020-04-16,60 A 69 ANOS,13
1474,16/04/2020,2020-04-16,50 A 59 ANOS,14
1471,16/04/2020,2020-04-16,20 A 29 ANOS,18
1470,16/04/2020,2020-04-16,10 A 19 ANOS,2
1574,17/04/2020,2020-04-17,30 A 39 ANOS,47
1572,17/04/2020,2020-04-17,10 A 19 ANOS,5
1573,17/04/2020,2020-04-17,20 A 29 ANOS,29
1575,17/04/2020,2020-04-17,40 A 49 ANOS,43
1577,17/04/2020,2020-04-17,60 A 69 ANOS,10
1578,17/04/2020,2020-04-17,70 A 79 ANOS,7
1579,17/04/2020,2020-04-17,80 A 89 ANOS,3
1571,17/04/2020,2020-04-17,1 A 9 ANOS,2
1576,17/04/2020,2020-04-17,50 A 59 ANOS,17
1675,18/04/2020,2020-04-18,10 A 19 ANOS,1
1676,18/04/2020,2020-04-18,20 A 29 ANOS,11
1677,18/04/2020,2020-04-18,30 A 39 ANOS,15
1678,18/04/2020,2020-04-18,40 A 49 ANOS,14
1679,18/04/2020,2020-04-18,50 A 59 ANOS,10
1680,18/04/2020,2020-04-18,60 A 69 ANOS,6
1681,18/04/2020,2020-04-18,70 A 79 ANOS,6
1682,18/04/2020,2020-04-18,80 A 89 ANOS,4
1783,19/04/2020,2020-04-19,80 A 89 ANOS,2
1776,19/04/2020,2020-04-19,10 A 19 ANOS,1
1777,19/04/2020,2020-04-19,20 A 29 ANOS,8
1778,19/04/2020,2020-04-19,30 A 39 ANOS,19
1779,19/04/2020,2020-04-19,40 A 49 ANOS,11
1780,19/04/2020,2020-04-19,50 A 59 ANOS,8
1781,19/04/2020,2020-04-19,60 A 69 ANOS,7
1782,19/04/2020,2020-04-19,70 A 79 ANOS,2
1784,19/04/2020,2020-04-19,90 OU MAIS,1
1878,20/04/2020,2020-04-20,10 A 19 ANOS,2
1877,20/04/2020,2020-04-20,1 A 9 ANOS,3
1879,20/04/2020,2020-04-20,20 A 29 ANOS,8
1886,20/04/2020,2020-04-20,90 OU MAIS,1
1885,20/04/2020,2020-04-20,80 A 89 ANOS,2
1884,20/04/2020,2020-04-20,70 A 79 ANOS,5
1883,20/04/2020,2020-04-20,60 A 69 ANOS,4
1882,20/04/2020,2020-04-20,50 A 59 ANOS,9
1880,20/04/2020,2020-04-20,30 A 39 ANOS,26
1881,20/04/2020,2020-04-20,40 A 49 ANOS,15
1983,21/04/2020,2020-04-21,30 A 39 ANOS,28
1985,21/04/2020,2020-04-21,50 A 59 ANOS,17
1986,21/04/2020,2020-04-21,60 A 69 ANOS,7
1987,21/04/2020,2020-04-21,70 A 79 ANOS,3
1988,21/04/2020,2020-04-21,80 A 89 ANOS,2
1982,21/04/2020,2020-04-21,20 A 29 ANOS,13
1984,21/04/2020,2020-04-21,40 A 49 ANOS,18
1980,21/04/2020,2020-04-21,1 A 9 ANOS,3
1981,21/04/2020,2020-04-21,10 A 19 ANOS,3
2088,22/04/2020,2020-04-22,60 A 69 ANOS,5
2082,22/04/2020,2020-04-22,1 A 9 ANOS,1
2083,22/04/2020,2020-04-22,10 A 19 ANOS,3
2084,22/04/2020,2020-04-22,20 A 29 ANOS,4
2085,22/04/2020,2020-04-22,30 A 39 ANOS,12
2089,22/04/2020,2020-04-22,80 A 89 ANOS,2
2086,22/04/2020,2020-04-22,40 A 49 ANOS,17
2087,22/04/2020,2020-04-22,50 A 59 ANOS,9
2194,23/04/2020,2020-04-23,80 A 89 ANOS,5
2192,23/04/2020,2020-04-23,60 A 69 ANOS,18
2186,23/04/2020,2020-04-23,1 A 9 ANOS,1
2187,23/04/2020,2020-04-23,10 A 19 ANOS,4
2188,23/04/2020,2020-04-23,20 A 29 ANOS,22
2189,23/04/2020,2020-04-23,30 A 39 ANOS,28
2190,23/04/2020,2020-04-23,40 A 49 ANOS,27
2191,23/04/2020,2020-04-23,50 A 59 ANOS,21
2193,23/04/2020,2020-04-23,70 A 79 ANOS,4
2291,24/04/2020,2020-04-24,1 A 9 ANOS,3
2298,24/04/2020,2020-04-24,70 A 79 ANOS,7
2292,24/04/2020,2020-04-24,10 A 19 ANOS,10
2299,24/04/2020,2020-04-24,80 A 89 ANOS,1
2294,24/04/2020,2020-04-24,30 A 39 ANOS,34
2295,24/04/2020,2020-04-24,40 A 49 ANOS,20
2297,24/04/2020,2020-04-24,60 A 69 ANOS,9
2293,24/04/2020,2020-04-24,20 A 29 ANOS,16
2296,24/04/2020,2020-04-24,50 A 59 ANOS,19
2396,25/04/2020,2020-04-25,40 A 49 ANOS,18
2393,25/04/2020,2020-04-25,10 A 19 ANOS,1
2395,25/04/2020,2020-04-25,30 A 39 ANOS,19
2397,25/04/2020,2020-04-25,50 A 59 ANOS,18
2398,25/04/2020,2020-04-25,60 A 69 ANOS,11
2399,25/04/2020,2020-04-25,70 A 79 ANOS,4
2400,25/04/2020,2020-04-25,80 A 89 ANOS,3
2401,25/04/2020,2020-04-25,90 OU MAIS,1
2392,25/04/2020,2020-04-25,1 A 9 ANOS,1
2394,25/04/2020,2020-04-25,20 A 29 ANOS,18
2493,26/04/2020,2020-04-26,20 A 29 ANOS,9
2494,26/04/2020,2020-04-26,30 A 39 ANOS,11
2495,26/04/2020,2020-04-26,40 A 49 ANOS,13
2496,26/04/2020,2020-04-26,50 A 59 ANOS,6
2497,26/04/2020,2020-04-26,60 A 69 ANOS,7
2498,26/04/2020,2020-04-26,70 A 79 ANOS,3
2499,26/04/2020,2020-04-26,80 A 89 ANOS,1
2603,27/04/2020,2020-04-27,90 OU MAIS,1
2602,27/04/2020,2020-04-27,80 A 89 ANOS,2
2601,27/04/2020,2020-04-27,70 A 79 ANOS,8
2600,27/04/2020,2020-04-27,60 A 69 ANOS,10
2599,27/04/2020,2020-04-27,50 A 59 ANOS,11
2598,27/04/2020,2020-04-27,40 A 49 ANOS,28
2597,27/04/2020,2020-04-27,30 A 39 ANOS,23
2596,27/04/2020,2020-04-27,20 A 29 ANOS,18
2595,27/04/2020,2020-04-27,10 A 19 ANOS,9
2604,27/04/2020,2020-04-27,<1ANO,2
2705,28/04/2020,2020-04-28,70 A 79 ANOS,4
2698,28/04/2020,2020-04-28,1 A 9 ANOS,2
2699,28/04/2020,2020-04-28,10 A 19 ANOS,6
2700,28/04/2020,2020-04-28,20 A 29 ANOS,28
2701,28/04/2020,2020-04-28,30 A 39 ANOS,47
2702,28/04/2020,2020-04-28,40 A 49 ANOS,36
2703,28/04/2020,2020-04-28,50 A 59 ANOS,25
2704,28/04/2020,2020-04-28,60 A 69 ANOS,11
2706,28/04/2020,2020-04-28,<1ANO,1
2797,29/04/2020,2020-04-29,50 A 59 ANOS,23
2800,29/04/2020,2020-04-29,80 A 89 ANOS,2
2799,29/04/2020,2020-04-29,70 A 79 ANOS,4
2798,29/04/2020,2020-04-29,60 A 69 ANOS,17
2794,29/04/2020,2020-04-29,20 A 29 ANOS,19
2796,29/04/2020,2020-04-29,40 A 49 ANOS,24
2795,29/04/2020,2020-04-29,30 A 39 ANOS,38
2793,29/04/2020,2020-04-29,10 A 19 ANOS,5
2889,30/04/2020,2020-04-30,30 A 39 ANOS,34
2888,30/04/2020,2020-04-30,20 A 29 ANOS,26
2890,30/04/2020,2020-04-30,40 A 49 ANOS,35
2895,30/04/2020,2020-04-30,<1ANO,1
2892,30/04/2020,2020-04-30,60 A 69 ANOS,15
2893,30/04/2020,2020-04-30,70 A 79 ANOS,4
2894,30/04/2020,2020-04-30,80 A 89 ANOS,6
2886,30/04/2020,2020-04-30,1 A 9 ANOS,2
2891,30/04/2020,2020-04-30,50 A 59 ANOS,26
2887,30/04/2020,2020-04-30,10 A 19 ANOS,6
387,05/04/2020,2020-05-04,1 A 9 ANOS,1
396,05/04/2020,2020-05-04,<1ANO,1
395,05/04/2020,2020-05-04,80 A 89 ANOS,1
394,05/04/2020,2020-05-04,70 A 79 ANOS,3
393,05/04/2020,2020-05-04,60 A 69 ANOS,7
392,05/04/2020,2020-05-04,50 A 59 ANOS,10
391,05/04/2020,2020-05-04,40 A 49 ANOS,4
390,05/04/2020,2020-05-04,30 A 39 ANOS,13
389,05/04/2020,2020-05-04,20 A 29 ANOS,6
388,05/04/2020,2020-05-04,10 A 19 ANOS,3
401,05/05/2020,2020-05-05,40 A 49 ANOS,49
399,05/05/2020,2020-05-05,20 A 29 ANOS,41
398,05/05/2020,2020-05-05,10 A 19 ANOS,4
397,05/05/2020,2020-05-05,1 A 9 ANOS,6
403,05/05/2020,2020-05-05,60 A 69 ANOS,15
402,05/05/2020,2020-05-05,50 A 59 ANOS,33
400,05/05/2020,2020-05-05,30 A 39 ANOS,64
404,05/05/2020,2020-05-05,70 A 79 ANOS,6
405,05/05/2020,2020-05-05,80 A 89 ANOS,1
413,05/06/2020,2020-05-06,70 A 79 ANOS,44
411,05/06/2020,2020-05-06,50 A 59 ANOS,172
410,05/06/2020,2020-05-06,40 A 49 ANOS,237
409,05/06/2020,2020-05-06,30 A 39 ANOS,330
408,05/06/2020,2020-05-06,20 A 29 ANOS,218
407,05/06/2020,2020-05-06,10 A 19 ANOS,29
406,05/06/2020,2020-05-06,1 A 9 ANOS,36
414,05/06/2020,2020-05-06,80 A 89 ANOS,19
415,05/06/2020,2020-05-06,90 OU MAIS,7
416,05/06/2020,2020-05-06,<1ANO,5
412,05/06/2020,2020-05-06,60 A 69 ANOS,62
417,05/07/2020,2020-05-07,1 A 9 ANOS,36
418,05/07/2020,2020-05-07,10 A 19 ANOS,45
422,05/07/2020,2020-05-07,50 A 59 ANOS,159
421,05/07/2020,2020-05-07,40 A 49 ANOS,224
423,05/07/2020,2020-05-07,60 A 69 ANOS,79
424,05/07/2020,2020-05-07,70 A 79 ANOS,56
425,05/07/2020,2020-05-07,80 A 89 ANOS,14
426,05/07/2020,2020-05-07,90 OU MAIS,5
427,05/07/2020,2020-05-07,<1ANO,3
420,05/07/2020,2020-05-07,30 A 39 ANOS,298
419,05/07/2020,2020-05-07,20 A 29 ANOS,201
428,05/08/2020,2020-05-08,1 A 9 ANOS,60
429,05/08/2020,2020-05-08,10 A 19 ANOS,118
431,05/08/2020,2020-05-08,30 A 39 ANOS,664
432,05/08/2020,2020-05-08,40 A 49 ANOS,515
433,05/08/2020,2020-05-08,50 A 59 ANOS,363
434,05/08/2020,2020-05-08,60 A 69 ANOS,228
430,05/08/2020,2020-05-08,20 A 29 ANOS,470
435,05/08/2020,2020-05-08,70 A 79 ANOS,126
438,05/08/2020,2020-05-08,<1ANO,7
436,05/08/2020,2020-05-08,80 A 89 ANOS,63
437,05/08/2020,2020-05-08,90 OU MAIS,15
449,05/09/2020,2020-05-09,<1ANO,4
443,05/09/2020,2020-05-09,40 A 49 ANOS,237
442,05/09/2020,2020-05-09,30 A 39 ANOS,322
441,05/09/2020,2020-05-09,20 A 29 ANOS,216
440,05/09/2020,2020-05-09,10 A 19 ANOS,57
444,05/09/2020,2020-05-09,50 A 59 ANOS,173
448,05/09/2020,2020-05-09,90 OU MAIS,6
446,05/09/2020,2020-05-09,70 A 79 ANOS,73
439,05/09/2020,2020-05-09,1 A 9 ANOS,31
445,05/09/2020,2020-05-09,60 A 69 ANOS,109
447,05/09/2020,2020-05-09,80 A 89 ANOS,33
455,05/10/2020,2020-05-10,50 A 59 ANOS,237
454,05/10/2020,2020-05-10,40 A 49 ANOS,343
453,05/10/2020,2020-05-10,30 A 39 ANOS,402
452,05/10/2020,2020-05-10,20 A 29 ANOS,298
451,05/10/2020,2020-05-10,10 A 19 ANOS,107
450,05/10/2020,2020-05-10,1 A 9 ANOS,46
456,05/10/2020,2020-05-10,60 A 69 ANOS,168
457,05/10/2020,2020-05-10,70 A 79 ANOS,91
458,05/10/2020,2020-05-10,80 A 89 ANOS,43
459,05/10/2020,2020-05-10,90 OU MAIS,7
460,05/10/2020,2020-05-10,<1ANO,3
461,05/11/2020,2020-05-11,1 A 9 ANOS,35
462,05/11/2020,2020-05-11,10 A 19 ANOS,114
468,05/11/2020,2020-05-11,70 A 79 ANOS,56
464,05/11/2020,2020-05-11,30 A 39 ANOS,483
465,05/11/2020,2020-05-11,40 A 49 ANOS,314
466,05/11/2020,2020-05-11,50 A 59 ANOS,201
467,05/11/2020,2020-05-11,60 A 69 ANOS,142
469,05/11/2020,2020-05-11,80 A 89 ANOS,26
470,05/11/2020,2020-05-11,90 OU MAIS,10
463,05/11/2020,2020-05-11,20 A 29 ANOS,339
471,05/11/2020,2020-05-11,<1ANO,8
474,05/12/2020,2020-05-12,20 A 29 ANOS,283
475,05/12/2020,2020-05-12,30 A 39 ANOS,412
476,05/12/2020,2020-05-12,40 A 49 ANOS,343
477,05/12/2020,2020-05-12,50 A 59 ANOS,226
480,05/12/2020,2020-05-12,80 A 89 ANOS,32
479,05/12/2020,2020-05-12,70 A 79 ANOS,84
481,05/12/2020,2020-05-12,90 OU MAIS,5
482,05/12/2020,2020-05-12,<1ANO,5
472,05/12/2020,2020-05-12,1 A 9 ANOS,28
478,05/12/2020,2020-05-12,60 A 69 ANOS,150
473,05/12/2020,2020-05-12,10 A 19 ANOS,79
1187,13/05/2020,2020-05-13,<1ANO,1
1179,13/05/2020,2020-05-13,20 A 29 ANOS,49
1178,13/05/2020,2020-05-13,10 A 19 ANOS,7
1177,13/05/2020,2020-05-13,1 A 9 ANOS,5
1186,13/05/2020,2020-05-13,90 OU MAIS,2
1181,13/05/2020,2020-05-13,40 A 49 ANOS,58
1182,13/05/2020,2020-05-13,50 A 59 ANOS,47
1183,13/05/2020,2020-05-13,60 A 69 ANOS,23
1184,13/05/2020,2020-05-13,70 A 79 ANOS,20
1185,13/05/2020,2020-05-13,80 A 89 ANOS,6
1180,13/05/2020,2020-05-13,30 A 39 ANOS,94
1288,14/05/2020,2020-05-14,<1ANO,4
1286,14/05/2020,2020-05-14,80 A 89 ANOS,19
1285,14/05/2020,2020-05-14,70 A 79 ANOS,24
1284,14/05/2020,2020-05-14,60 A 69 ANOS,27
1283,14/05/2020,2020-05-14,50 A 59 ANOS,48
1287,14/05/2020,2020-05-14,90 OU MAIS,3
1282,14/05/2020,2020-05-14,40 A 49 ANOS,66
1278,14/05/2020,2020-05-14,1 A 9 ANOS,10
1279,14/05/2020,2020-05-14,10 A 19 ANOS,8
1280,14/05/2020,2020-05-14,20 A 29 ANOS,52
1281,14/05/2020,2020-05-14,30 A 39 ANOS,75
1382,15/05/2020,2020-05-15,50 A 59 ANOS,47
1381,15/05/2020,2020-05-15,40 A 49 ANOS,77
1379,15/05/2020,2020-05-15,20 A 29 ANOS,54
1380,15/05/2020,2020-05-15,30 A 39 ANOS,84
1377,15/05/2020,2020-05-15,1 A 9 ANOS,14
1378,15/05/2020,2020-05-15,10 A 19 ANOS,11
1386,15/05/2020,2020-05-15,90 OU MAIS,4
1385,15/05/2020,2020-05-15,80 A 89 ANOS,12
1384,15/05/2020,2020-05-15,70 A 79 ANOS,18
1383,15/05/2020,2020-05-15,60 A 69 ANOS,37
1387,15/05/2020,2020-05-15,<1ANO,2
1487,16/05/2020,2020-05-16,<1ANO,1
1486,16/05/2020,2020-05-16,80 A 89 ANOS,11
1485,16/05/2020,2020-05-16,70 A 79 ANOS,14
1484,16/05/2020,2020-05-16,60 A 69 ANOS,15
1483,16/05/2020,2020-05-16,50 A 59 ANOS,19
1482,16/05/2020,2020-05-16,40 A 49 ANOS,42
1481,16/05/2020,2020-05-16,30 A 39 ANOS,47
1480,16/05/2020,2020-05-16,20 A 29 ANOS,27
1479,16/05/2020,2020-05-16,10 A 19 ANOS,9
1478,16/05/2020,2020-05-16,1 A 9 ANOS,4
1580,17/05/2020,2020-05-17,1 A 9 ANOS,3
1588,17/05/2020,2020-05-17,80 A 89 ANOS,4
1581,17/05/2020,2020-05-17,10 A 19 ANOS,10
1582,17/05/2020,2020-05-17,20 A 29 ANOS,28
1583,17/05/2020,2020-05-17,30 A 39 ANOS,33
1584,17/05/2020,2020-05-17,40 A 49 ANOS,29
1585,17/05/2020,2020-05-17,50 A 59 ANOS,17
1586,17/05/2020,2020-05-17,60 A 69 ANOS,13
1587,17/05/2020,2020-05-17,70 A 79 ANOS,8
1589,17/05/2020,2020-05-17,<1ANO,1
1693,18/05/2020,2020-05-18,<1ANO,2
1692,18/05/2020,2020-05-18,90 OU MAIS,2
1683,18/05/2020,2020-05-18,1 A 9 ANOS,8
1691,18/05/2020,2020-05-18,80 A 89 ANOS,9
1690,18/05/2020,2020-05-18,70 A 79 ANOS,13
1689,18/05/2020,2020-05-18,60 A 69 ANOS,31
1688,18/05/2020,2020-05-18,50 A 59 ANOS,52
1687,18/05/2020,2020-05-18,40 A 49 ANOS,74
1686,18/05/2020,2020-05-18,30 A 39 ANOS,97
1685,18/05/2020,2020-05-18,20 A 29 ANOS,75
1684,18/05/2020,2020-05-18,10 A 19 ANOS,9
1785,19/05/2020,2020-05-19,1 A 9 ANOS,10
1786,19/05/2020,2020-05-19,10 A 19 ANOS,19
1787,19/05/2020,2020-05-19,20 A 29 ANOS,68
1788,19/05/2020,2020-05-19,30 A 39 ANOS,122
1790,19/05/2020,2020-05-19,50 A 59 ANOS,63
1789,19/05/2020,2020-05-19,40 A 49 ANOS,97
1793,19/05/2020,2020-05-19,80 A 89 ANOS,6
1792,19/05/2020,2020-05-19,70 A 79 ANOS,22
1791,19/05/2020,2020-05-19,60 A 69 ANOS,32
1794,19/05/2020,2020-05-19,90 OU MAIS,6
1795,19/05/2020,2020-05-19,<1ANO,5
1891,20/05/2020,2020-05-20,40 A 49 ANOS,97
1887,20/05/2020,2020-05-20,1 A 9 ANOS,7
1888,20/05/2020,2020-05-20,10 A 19 ANOS,17
1889,20/05/2020,2020-05-20,20 A 29 ANOS,79
1890,20/05/2020,2020-05-20,30 A 39 ANOS,139
1892,20/05/2020,2020-05-20,50 A 59 ANOS,75
1893,20/05/2020,2020-05-20,60 A 69 ANOS,38
1895,20/05/2020,2020-05-20,80 A 89 ANOS,7
1896,20/05/2020,2020-05-20,90 OU MAIS,2
1897,20/05/2020,2020-05-20,<1ANO,1
1894,20/05/2020,2020-05-20,70 A 79 ANOS,16
1995,21/05/2020,2020-05-21,60 A 69 ANOS,37
1996,21/05/2020,2020-05-21,70 A 79 ANOS,25
1990,21/05/2020,2020-05-21,10 A 19 ANOS,7
1999,21/05/2020,2020-05-21,<1ANO,1
1998,21/05/2020,2020-05-21,90 OU MAIS,1
1994,21/05/2020,2020-05-21,50 A 59 ANOS,85
1993,21/05/2020,2020-05-21,40 A 49 ANOS,133
1992,21/05/2020,2020-05-21,30 A 39 ANOS,131
1991,21/05/2020,2020-05-21,20 A 29 ANOS,87
1997,21/05/2020,2020-05-21,80 A 89 ANOS,11
1989,21/05/2020,2020-05-21,1 A 9 ANOS,5
2098,22/05/2020,2020-05-22,80 A 89 ANOS,12
2090,22/05/2020,2020-05-22,1 A 9 ANOS,11
2091,22/05/2020,2020-05-22,10 A 19 ANOS,27
2092,22/05/2020,2020-05-22,20 A 29 ANOS,78
2093,22/05/2020,2020-05-22,30 A 39 ANOS,148
2094,22/05/2020,2020-05-22,40 A 49 ANOS,131
2100,22/05/2020,2020-05-22,<1ANO,1
2099,22/05/2020,2020-05-22,90 OU MAIS,1
2095,22/05/2020,2020-05-22,50 A 59 ANOS,84
2096,22/05/2020,2020-05-22,60 A 69 ANOS,37
2097,22/05/2020,2020-05-22,70 A 79 ANOS,19
2205,23/05/2020,2020-05-23,<1ANO,7
2200,23/05/2020,2020-05-23,50 A 59 ANOS,68
2204,23/05/2020,2020-05-23,90 OU MAIS,2
2203,23/05/2020,2020-05-23,80 A 89 ANOS,10
2195,23/05/2020,2020-05-23,1 A 9 ANOS,4
2196,23/05/2020,2020-05-23,10 A 19 ANOS,75
2197,23/05/2020,2020-05-23,20 A 29 ANOS,74
2198,23/05/2020,2020-05-23,30 A 39 ANOS,148
2199,23/05/2020,2020-05-23,40 A 49 ANOS,82
2201,23/05/2020,2020-05-23,60 A 69 ANOS,27
2202,23/05/2020,2020-05-23,70 A 79 ANOS,12
2304,24/05/2020,2020-05-24,40 A 49 ANOS,27
2303,24/05/2020,2020-05-24,30 A 39 ANOS,28
2300,24/05/2020,2020-05-24,1 A 9 ANOS,1
2305,24/05/2020,2020-05-24,50 A 59 ANOS,21
2306,24/05/2020,2020-05-24,60 A 69 ANOS,4
2307,24/05/2020,2020-05-24,70 A 79 ANOS,3
2308,24/05/2020,2020-05-24,<1ANO,2
2302,24/05/2020,2020-05-24,20 A 29 ANOS,15
2301,24/05/2020,2020-05-24,10 A 19 ANOS,157
2409,25/05/2020,2020-05-25,70 A 79 ANOS,34
2408,25/05/2020,2020-05-25,60 A 69 ANOS,64
2407,25/05/2020,2020-05-25,50 A 59 ANOS,109
2405,25/05/2020,2020-05-25,30 A 39 ANOS,216
2404,25/05/2020,2020-05-25,20 A 29 ANOS,132
2406,25/05/2020,2020-05-25,40 A 49 ANOS,155
2402,25/05/2020,2020-05-25,1 A 9 ANOS,10
2410,25/05/2020,2020-05-25,80 A 89 ANOS,17
2411,25/05/2020,2020-05-25,90 OU MAIS,3
2412,25/05/2020,2020-05-25,<1ANO,3
2403,25/05/2020,2020-05-25,10 A 19 ANOS,23
2510,26/05/2020,2020-05-26,<1ANO,6
2506,26/05/2020,2020-05-26,60 A 69 ANOS,59
2508,26/05/2020,2020-05-26,80 A 89 ANOS,12
2507,26/05/2020,2020-05-26,70 A 79 ANOS,25
2505,26/05/2020,2020-05-26,50 A 59 ANOS,101
2504,26/05/2020,2020-05-26,40 A 49 ANOS,131
2503,26/05/2020,2020-05-26,30 A 39 ANOS,182
2502,26/05/2020,2020-05-26,20 A 29 ANOS,104
2501,26/05/2020,2020-05-26,10 A 19 ANOS,17
2500,26/05/2020,2020-05-26,1 A 9 ANOS,11
2509,26/05/2020,2020-05-26,90 OU MAIS,5
2610,27/05/2020,2020-05-27,50 A 59 ANOS,135
2612,27/05/2020,2020-05-27,70 A 79 ANOS,38
2611,27/05/2020,2020-05-27,60 A 69 ANOS,60
2609,27/05/2020,2020-05-27,40 A 49 ANOS,206
2613,27/05/2020,2020-05-27,80 A 89 ANOS,14
2607,27/05/2020,2020-05-27,20 A 29 ANOS,152
2614,27/05/2020,2020-05-27,90 OU MAIS,2
2605,27/05/2020,2020-05-27,1 A 9 ANOS,19
2606,27/05/2020,2020-05-27,10 A 19 ANOS,27
2608,27/05/2020,2020-05-27,30 A 39 ANOS,269
2615,27/05/2020,2020-05-27,<1ANO,8
2712,28/05/2020,2020-05-28,50 A 59 ANOS,130
2711,28/05/2020,2020-05-28,40 A 49 ANOS,223
2714,28/05/2020,2020-05-28,70 A 79 ANOS,23
2709,28/05/2020,2020-05-28,20 A 29 ANOS,159
2708,28/05/2020,2020-05-28,10 A 19 ANOS,19
2707,28/05/2020,2020-05-28,1 A 9 ANOS,19
2715,28/05/2020,2020-05-28,80 A 89 ANOS,13
2716,28/05/2020,2020-05-28,90 OU MAIS,1
2717,28/05/2020,2020-05-28,<1ANO,4
2713,28/05/2020,2020-05-28,60 A 69 ANOS,64
2710,28/05/2020,2020-05-28,30 A 39 ANOS,247
2808,29/05/2020,2020-05-29,70 A 79 ANOS,36
2809,29/05/2020,2020-05-29,80 A 89 ANOS,9
2807,29/05/2020,2020-05-29,60 A 69 ANOS,71
2806,29/05/2020,2020-05-29,50 A 59 ANOS,112
2805,29/05/2020,2020-05-29,40 A 49 ANOS,221
2804,29/05/2020,2020-05-29,30 A 39 ANOS,283
2803,29/05/2020,2020-05-29,20 A 29 ANOS,159
2802,29/05/2020,2020-05-29,10 A 19 ANOS,41
2810,29/05/2020,2020-05-29,90 OU MAIS,4
2801,29/05/2020,2020-05-29,1 A 9 ANOS,10
2811,29/05/2020,2020-05-29,<1ANO,2
