,DATA_NOTIFICACAO,Date,FAIXA_ETARIA,count
102,02/04/2020,2020-02-04,60 A 69 ANOS,7
104,02/04/2020,2020-02-04,80 A 89 ANOS,2
103,02/04/2020,2020-02-04,70 A 79 ANOS,1
101,02/04/2020,2020-02-04,50 A 59 ANOS,8
98,02/04/2020,2020-02-04,20 A 29 ANOS,5
99,02/04/2020,2020-02-04,30 A 39 ANOS,16
100,02/04/2020,2020-02-04,40 A 49 ANOS,18
97,02/04/2020,2020-02-04,1 A 9 ANOS,1
113,02/05/2020,2020-02-05,<1ANO,1
112,02/05/2020,2020-02-05,80 A 89 ANOS,1
111,02/05/2020,2020-02-05,70 A 79 ANOS,10
109,02/05/2020,2020-02-05,50 A 59 ANOS,27
110,02/05/2020,2020-02-05,60 A 69 ANOS,7
107,02/05/2020,2020-02-05,30 A 39 ANOS,21
106,02/05/2020,2020-02-05,20 A 29 ANOS,9
105,02/05/2020,2020-02-05,10 A 19 ANOS,2
108,02/05/2020,2020-02-05,40 A 49 ANOS,21
121,02/06/2020,2020-02-06,70 A 79 ANOS,38
124,02/06/2020,2020-02-06,<1ANO,2
123,02/06/2020,2020-02-06,90 OU MAIS,5
122,02/06/2020,2020-02-06,80 A 89 ANOS,20
120,02/06/2020,2020-02-06,60 A 69 ANOS,72
115,02/06/2020,2020-02-06,10 A 19 ANOS,48
118,02/06/2020,2020-02-06,40 A 49 ANOS,301
117,02/06/2020,2020-02-06,30 A 39 ANOS,426
116,02/06/2020,2020-02-06,20 A 29 ANOS,297
114,02/06/2020,2020-02-06,1 A 9 ANOS,26
119,02/06/2020,2020-02-06,50 A 59 ANOS,159
132,02/07/2020,2020-02-07,70 A 79 ANOS,92
135,02/07/2020,2020-02-07,<1ANO,4
134,02/07/2020,2020-02-07,90 OU MAIS,9
133,02/07/2020,2020-02-07,80 A 89 ANOS,44
131,02/07/2020,2020-02-07,60 A 69 ANOS,156
126,02/07/2020,2020-02-07,10 A 19 ANOS,92
129,02/07/2020,2020-02-07,40 A 49 ANOS,480
128,02/07/2020,2020-02-07,30 A 39 ANOS,573
127,02/07/2020,2020-02-07,20 A 29 ANOS,391
125,02/07/2020,2020-02-07,1 A 9 ANOS,52
130,02/07/2020,2020-02-07,50 A 59 ANOS,296
146,02/08/2020,2020-02-08,<1ANO,3
145,02/08/2020,2020-02-08,90 OU MAIS,4
144,02/08/2020,2020-02-08,80 A 89 ANOS,19
143,02/08/2020,2020-02-08,70 A 79 ANOS,36
142,02/08/2020,2020-02-08,60 A 69 ANOS,71
141,02/08/2020,2020-02-08,50 A 59 ANOS,111
139,02/08/2020,2020-02-08,30 A 39 ANOS,189
138,02/08/2020,2020-02-08,20 A 29 ANOS,134
137,02/08/2020,2020-02-08,10 A 19 ANOS,30
136,02/08/2020,2020-02-08,1 A 9 ANOS,16
140,02/08/2020,2020-02-08,40 A 49 ANOS,181
154,02/09/2020,2020-02-09,70 A 79 ANOS,115
156,02/09/2020,2020-02-09,90 OU MAIS,18
155,02/09/2020,2020-02-09,80 A 89 ANOS,59
157,02/09/2020,2020-02-09,<1ANO,10
153,02/09/2020,2020-02-09,60 A 69 ANOS,224
149,02/09/2020,2020-02-09,20 A 29 ANOS,484
151,02/09/2020,2020-02-09,40 A 49 ANOS,485
150,02/09/2020,2020-02-09,30 A 39 ANOS,608
148,02/09/2020,2020-02-09,10 A 19 ANOS,135
147,02/09/2020,2020-02-09,1 A 9 ANOS,88
152,02/09/2020,2020-02-09,50 A 59 ANOS,386
168,02/10/2020,2020-02-10,<1ANO,9
167,02/10/2020,2020-02-10,90 OU MAIS,8
166,02/10/2020,2020-02-10,80 A 89 ANOS,47
165,02/10/2020,2020-02-10,70 A 79 ANOS,79
164,02/10/2020,2020-02-10,60 A 69 ANOS,156
163,02/10/2020,2020-02-10,50 A 59 ANOS,198
161,02/10/2020,2020-02-10,30 A 39 ANOS,371
160,02/10/2020,2020-02-10,20 A 29 ANOS,337
159,02/10/2020,2020-02-10,10 A 19 ANOS,84
158,02/10/2020,2020-02-10,1 A 9 ANOS,36
162,02/10/2020,2020-02-10,40 A 49 ANOS,333
179,02/11/2020,2020-02-11,<1ANO,3
178,02/11/2020,2020-02-11,90 OU MAIS,3
177,02/11/2020,2020-02-11,80 A 89 ANOS,4
176,02/11/2020,2020-02-11,70 A 79 ANOS,7
174,02/11/2020,2020-02-11,50 A 59 ANOS,41
175,02/11/2020,2020-02-11,60 A 69 ANOS,31
172,02/11/2020,2020-02-11,30 A 39 ANOS,100
171,02/11/2020,2020-02-11,20 A 29 ANOS,63
170,02/11/2020,2020-02-11,10 A 19 ANOS,11
169,02/11/2020,2020-02-11,1 A 9 ANOS,6
173,02/11/2020,2020-02-11,40 A 49 ANOS,66
190,02/12/2020,2020-02-12,<1ANO,12
189,02/12/2020,2020-02-12,90 OU MAIS,10
188,02/12/2020,2020-02-12,80 A 89 ANOS,66
187,02/12/2020,2020-02-12,70 A 79 ANOS,125
185,02/12/2020,2020-02-12,50 A 59 ANOS,490
186,02/12/2020,2020-02-12,60 A 69 ANOS,304
183,02/12/2020,2020-02-12,30 A 39 ANOS,805
182,02/12/2020,2020-02-12,20 A 29 ANOS,713
181,02/12/2020,2020-02-12,10 A 19 ANOS,171
180,02/12/2020,2020-02-12,1 A 9 ANOS,55
184,02/12/2020,2020-02-12,40 A 49 ANOS,652
1164,13/02/2020,2020-02-13,20 A 29 ANOS,1
2688,28/02/2020,2020-02-28,20 A 29 ANOS,1
191,03/01/2020,2020-03-01,30 A 39 ANOS,1
192,03/03/2020,2020-03-03,20 A 29 ANOS,1
199,03/04/2020,2020-03-04,60 A 69 ANOS,6
200,03/04/2020,2020-03-04,70 A 79 ANOS,6
198,03/04/2020,2020-03-04,50 A 59 ANOS,9
201,03/04/2020,2020-03-04,80 A 89 ANOS,5
196,03/04/2020,2020-03-04,30 A 39 ANOS,11
195,03/04/2020,2020-03-04,20 A 29 ANOS,4
193,03/04/2020,2020-03-04,1 A 9 ANOS,2
194,03/04/2020,2020-03-04,10 A 19 ANOS,2
197,03/04/2020,2020-03-04,40 A 49 ANOS,6
211,03/05/2020,2020-03-05,90 OU MAIS,1
210,03/05/2020,2020-03-05,80 A 89 ANOS,2
209,03/05/2020,2020-03-05,70 A 79 ANOS,14
208,03/05/2020,2020-03-05,60 A 69 ANOS,32
206,03/05/2020,2020-03-05,40 A 49 ANOS,60
205,03/05/2020,2020-03-05,30 A 39 ANOS,45
204,03/05/2020,2020-03-05,20 A 29 ANOS,28
203,03/05/2020,2020-03-05,10 A 19 ANOS,8
